Bacteria Family,Genus,Species,Flower species,Petal Transect
Flavobacteriaceae,Chryseobacterium ,Chryseobacterium greenlandense,Verbesina alternifolia,5
Methylobacteriaceae,Methylobacterium ,Methylobacterium indicum,Helianthus tuberosus,4
Microbacteriaceae,Curtobacterium,Curtobacterium flaccumfaciens,Helianthus tuberosus,5
Microbacteriaceae,Curtobacterium ,Curtobacterium oceanosedimentum,Verbesina alternifolia,5
Microbacteriaceae,Curtobacterium ,Curtobacterium oceanosedimentum,Verbesina alternifolia,2
Microbacteriaceae,Curtobacterium ,Curtobacterium oceanosedimentum,Verbesina alternifolia,1
Microbacteriaceae,Curtobacterium ,Curtobacterium oceanosedimentum,Verbesina alternifolia,2
Microbacteriaceae,Curtobacterium ,Curtobacterium pusillum,Verbesina alternifolia,1
Microbacteriaceae,Frigoribacterium ,Frigoribacterium faeni,Helianthus tuberosus,5
Microbacteriaceae,Frigoribacterium ,Frigoribacterium faeni,Verbesina alternifolia,1
Microbacteriaceae,Frigoribacterium ,Frigoribacterium faeni,Helianthus tuberosus,3
Microbacteriaceae,Microbacterium ,Microbacterium oleivorans,Verbesina alternifolia,4
Microbacteriaceae,Microbacterium ,Microbacterium testaceum,Helianthus tuberosus,4
Microbacteriaceae,Microbacterium ,Microbacterium testaceum,Helianthus tuberosus,4
Microbacteriaceae,Microbacterium ,Microbacterium testaceum,Helianthus tuberosus,5
Microbacteriaceae,Rathayibacter ,Rathayibacter festucae,Verbesina alternifolia,1
Nocardiaceae,Rhodococcus ,Rhodococcus circidiphylli,Helianthus tuberosus,3
Nocardiaceae,Rhodococcus ,Rhodococcus circidiphylli,Verbesina alternifolia,1
Nocardiaceae,Rhodococcus ,Rhodococcus circidiphylli,Verbesina alternifolia,3
Nocardiaceae,Rhodococcus ,Rhodococcus circidiphylli,Helianthus tuberosus,2
Nocardiaceae,Rhodococcus ,Rhodococcus circidiphylli,Verbesina alternifolia,3
Pseudomonadaceae,Pseudomonas,Pseudomonas baetica,Helianthus tuberosus,1
Pseudomonadaceae,Pseudomonas ,Pseudomonas caricapapayae,Helianthus tuberosus,3
Pseudomonadaceae,Pseudomonas,Pseudomonas caricapapayae,Helianthus tuberosus,1
Pseudomonadaceae,Pseudomonas ,Pseudomonas chlororaphis,Verbesina alternifolia,5
Pseudomonadaceae,Pseudomonas ,Pseudomonas cichorii,Verbesina alternifolia,3
Pseudomonadaceae,Pseudomonas,Pseudomonas coleopterorum,Helianthus tuberosus,4
Pseudomonadaceae,Pseudomonas ,Pseudomonas coleopterorum,Helianthus tuberosus,4
Pseudomonadaceae,Pseudomonas ,Pseudomonas coleopterorum,Verbesina alternifolia,4
Pseudomonadaceae,Pseudomonas ,Pseudomonas coleopterorum,Helianthus tuberosus,3
Pseudomonadaceae,Pseudomonas ,Pseudomonas coleopterorum,Helianthus tuberosus,5
Pseudomonadaceae,Pseudomonas ,Pseudomonas coleopterorum,Verbesina alternifolia,1
Pseudomonadaceae,Pseudomonas ,Pseudomonas coleopterorum,Helianthus tuberosus,1
Pseudomonadaceae,Pseudomonas,Pseudomonas coleopterorum,Verbesina alternifolia,4
Pseudomonadaceae,Pseudomonas,Pseudomonas cremoricolorata,Helianthus tuberosus,5
Pseudomonadaceae,Pseudomonas ,Pseudomonas cremoricolorata,Helianthus tuberosus,1
Pseudomonadaceae,Pseudomonas ,Pseudomonas cremoricolorata,Helianthus tuberosus,2
Pseudomonadaceae,Pseudomonas ,Pseudomonas cremoricolorata,Verbesina alternifolia,2
Pseudomonadaceae,Pseudomonas ,Pseudomonas cremoricolorata,Helianthus tuberosus,4
Pseudomonadaceae,Pseudomonas,Pseudomonas cremoricolorata,Verbesina alternifolia,1
Pseudomonadaceae,Pseudomonas ,Pseudomonas mucidolens,Verbesina alternifolia,2
Pseudomonadaceae,Pseudomonas ,Pseudomonas oryzihabitans,Helianthus tuberosus,2
Pseudomonadaceae,Pseudomonas ,Pseudomonas oryzihabitans,Helianthus tuberosus,2
Pseudomonadaceae,Pseudomonas ,Pseudomonas oryzihabitans,Helianthus tuberosus,2
Pseudomonadaceae,Pseudomonas ,Pseudomonas oryzihabitans,Helianthus tuberosus,2
Pseudomonadaceae,Pseudomonas ,Pseudomonas oryzihabitans,Helianthus tuberosus,1
Pseudomonadaceae,Pseudomonas ,Pseudomonas psychrotolerans,Verbesina alternifolia,2
Pseudomonadaceae,Pseudomonas ,Pseudomonas psychrotolerans,Helianthus tuberosus,2
Pseudomonadaceae,Pseudomonas ,Pseudomonas psychrotolerans,Helianthus tuberosus,2
Pseudomonadaceae,Pseudomonas ,Pseudomonas viridiflava,Verbesina alternifolia,4
Rhizobiaceae,Rhizobium ,Rhizobium soli,Helianthus tuberosus,5
Rhizobiaceae,Rhizobium ,Rhizobium soli,Helianthus tuberosus,1
Rhodobacteraceae,Paracoccus ,Paracoccus marcusi,Helianthus tuberosus,3
Sphingomonadaceae,Sphingomonas ,Sphingomonas aerolata,Verbesina alternifolia,5
Sphingomonadaceae,Sphingomonas ,Sphingomonas kyungheensis,Helianthus tuberosus,4
Xanthomonadaceae,Stenotrophomonas ,Stenotrophomonas chelatiphaga,Verbesina alternifolia,4
Xanthomonadaceae,Stenotrophomonas ,Stenotrophomonas chelatiphaga,Verbesina alternifolia,4
Xanthomonadaceae,Stenotrophomonas ,Stenotrophomonas maltophilia,Verbesina alternifolia,5
Xanthomonadaceae,Stenotrophomonas ,Stenotrophomonas tumulicola,Verbesina alternifolia,3
